시군구,평수,월세금(만원),건축년도
서울특별시 광진구 광장동,25.6,0,2007
서울특별시 성동구 금호동1가,25.7,0,2001
서울특별시 강남구 역삼동,4.6,85,2014
서울특별시 강남구 세곡동,25.7,200,2011
서울특별시 강남구 세곡동,25.7,0,2013
서울특별시 종로구 명륜2가,52.1,0,1999
서울특별시 종로구 명륜2가,25.7,0,1995
서울특별시 강남구 대치동,18.1,460,2023
서울특별시 강남구 대치동,25.5,100,1980
서울특별시 강남구 대치동,25.5,0,1980
서울특별시 강남구 대치동,35.0,140,1984
서울특별시 강남구 일원동,30.8,160,1994
서울특별시 강남구 일원동,22.7,0,1993
서울특별시 강남구 삼성동,18.1,0,1998
서울특별시 중구 광희동1가,5.6,48,2023
서울특별시 중구 회현동1가,34.3,570,2011
서울특별시 강남구 개포동,18.2,0,1983
서울특별시 성동구 옥수동,25.5,0,2002
서울특별시 강남구 역삼동,18.0,0,2005
서울특별시 강남구 역삼동,18.0,300,2002
서울특별시 강서구 내발산동,25.7,0,2005
서울특별시 강서구 마곡동,18.1,0,2021
서울특별시 강서구 마곡동,25.7,0,2014
서울특별시 구로구 고척동,18.1,0,2010
서울특별시 금천구 시흥동,34.7,0,2004
서울특별시 구로구 구로동,10.8,0,1995
서울특별시 구로구 오류동,25.7,0,2006
서울특별시 강서구 화곡동,7.4,6,2020
서울특별시 강서구 화곡동,25.7,0,2003
서울특별시 구로구 구로동,25.1,0,1994
서울특별시 영등포구 영등포동,25.7,0,2002
서울특별시 강서구 가양동,10.4,0,1992
서울특별시 강서구 가양동,12.0,85,1992
서울특별시 금천구 시흥동,18.1,0,2004
서울특별시 영등포구 영등포동,9.1,0,2021
서울특별시 강서구 방화동,23.2,0,1993
서울특별시 은평구 응암동,25.6,0,2022
서울특별시 노원구 중계동,13.5,90,1992
서울특별시 서대문구 홍제동,25.7,45,2024
서울특별시 서대문구 충정로3가,5.3,41,2020
서울특별시 은평구 녹번동,18.1,0,2019
서울특별시 은평구 녹번동,18.1,160,2019
서울특별시 노원구 상계동,24.0,110,1988
서울특별시 노원구 상계동,25.7,150,2020
서울특별시 은평구 수색동,15.1,100,2021
서울특별시 서대문구 현저동,18.0,0,1998
서울특별시 은평구 신사동,18.1,0,2019
서울특별시 은평구 신사동,25.7,0,1996
서울특별시 노원구 상계동,13.9,80,1988
서울특별시 서대문구 홍제동,18.0,0,2001
서울특별시 서대문구 홍제동,22.7,0,1992
서울특별시 노원구 상계동,9.8,0,1987
서울특별시 은평구 진관동,30.8,0,2008
서울특별시 은평구 진관동,18.1,0,2009
서울특별시 노원구 중계동,13.3,0,1990
서울특별시 동작구 노량진동,25.7,0,2001
서울특별시 영등포구 당산동4가,18.1,185,1997
서울특별시 영등포구 문래동5가,24.2,0,1988
서울특별시 관악구 봉천동,18.1,0,2000
서울특별시 영등포구 당산동,5.4,25,2012
서울특별시 영등포구 신길동,34.5,0,2005
서울특별시 영등포구 당산동3가,15.1,100,2014
서울특별시 영등포구 여의도동,29.0,50,1977
서울특별시 동작구 노량진동,34.7,0,2001
